locatedInCR(albania,europe) 6
locatedInCR(american_samoa,oceania) -1
locatedInCR(anguilla,americas) -1
locatedInCR(antigua_and_barbuda,americas) -1
locatedInCR(aruba,americas) -1
locatedInCR(australia,oceania) -1
locatedInCR(bahamas,americas) -1
locatedInCR(bahrain,asia) -1
locatedInCR(barbados,americas) -1
locatedInCR(bermuda,americas) -1
locatedInCR(bhutan,asia) 3
locatedInCR(british_indian_ocean_territory,africa) -1
locatedInCR(british_virgin_islands,americas) -1
locatedInCR(brunei,asia) 6
locatedInCR(cape_verde,africa) -1
locatedInCR(cayman_islands,americas) -1
locatedInCR(christmas_island,oceania) -1
locatedInCR(cocos_keeling_islands,oceania) -1
locatedInCR(comoros,africa) -1
locatedInCR(cook_islands,oceania) -1
locatedInCR(cuba,americas) -1
locatedInCR(curacao,americas) -1
locatedInCR(cyprus,europe) -1
locatedInCR(dominica,americas) -1
locatedInCR(dominican_republic,americas) 2
locatedInCR(equatorial_guinea,africa) 3
locatedInCR(estonia,europe) 5
locatedInCR(falkland_islands,americas) -1
locatedInCR(faroe_islands,europe) -1
locatedInCR(fiji,oceania) -1
locatedInCR(french_polynesia,oceania) -1
locatedInCR(gambia,africa) 2
locatedInCR(greenland,americas) -1
locatedInCR(grenada,americas) -1
locatedInCR(guadeloupe,americas) -1
locatedInCR(guam,oceania) -1
locatedInCR(guernsey,europe) -1
locatedInCR(guinea_bissau,africa) 2
locatedInCR(haiti,americas) 2
locatedInCR(iceland,europe) -1
locatedInCR(ireland,europe) 2
locatedInCR(isle_of_man,europe) -1
locatedInCR(italy,europe) 2
locatedInCR(jamaica,americas) -1
locatedInCR(japan,asia) -1
locatedInCR(jersey,europe) -1
locatedInCR(kiribati,oceania) -1
locatedInCR(lebanon,asia) 3
locatedInCR(lesotho,africa) 3
locatedInCR(liechtenstein,europe) 3
locatedInCR(macau,asia) 3
locatedInCR(madagascar,africa) -1
locatedInCR(maldives,asia) -1
locatedInCR(malta,europe) -1
locatedInCR(marshall_islands,oceania) -1
locatedInCR(martinique,americas) -1
locatedInCR(mauritania,africa) 2
locatedInCR(mauritius,africa) -1
locatedInCR(mayotte,africa) -1
locatedInCR(moldova,europe) 5
locatedInCR(mongolia,asia) 3
locatedInCR(montserrat,americas) -1
locatedInCR(namibia,africa) 3
locatedInCR(nauru,oceania) -1
locatedInCR(nepal,asia) 3
locatedInCR(new_caledonia,oceania) -1
locatedInCR(new_zealand,oceania) -1
locatedInCR(nigeria,africa) 3
locatedInCR(niue,oceania) -1
locatedInCR(norfolk_island,oceania) -1
locatedInCR(northern_mariana_islands,oceania) -1
locatedInCR(palau,oceania) -1
locatedInCR(palestine,asia) 3
locatedInCR(panama,americas) 5
locatedInCR(paraguay,americas) 3
locatedInCR(philippines,asia) -1
locatedInCR(pitcairn_islands,oceania) -1
locatedInCR(puerto_rico,americas) -1
locatedInCR(reunion,africa) -1
locatedInCR(saint_barthelemy,americas) -1
locatedInCR(saint_kitts_and_nevis,americas) -1
locatedInCR(saint_lucia,americas) -1
locatedInCR(saint_martin,americas) 2
locatedInCR(saint_pierre_and_miquelon,americas) -1
locatedInCR(saint_vincent_and_the_grenadines,americas) -1
locatedInCR(samoa,oceania) -1
locatedInCR(san_marino,europe) 2
locatedInCR(senegal,africa) 2
locatedInCR(seychelles,africa) -1
locatedInCR(singapore,asia) -1
locatedInCR(sint_maarten,americas) 2
locatedInCR(solomon_islands,oceania) -1
locatedInCR(south_georgia,americas) -1
locatedInCR(svalbard_and_jan_mayen,europe) -1
locatedInCR(sao_tome_and_principe,africa) -1
locatedInCR(taiwan,asia) -1
locatedInCR(tokelau,oceania) -1
locatedInCR(tonga,oceania) -1
locatedInCR(trinidad_and_tobago,americas) -1
locatedInCR(tunisia,africa) 3
locatedInCR(turks_and_caicos_islands,americas) -1
locatedInCR(tuvalu,oceania) -1
locatedInCR(united_kingdom,europe) 2
locatedInCR(united_states_minor_outlying_islands,americas) -1
locatedInCR(united_states_virgin_islands,americas) -1
locatedInCR(uruguay,americas) 3
locatedInCR(vanuatu,oceania) -1
locatedInCR(vatican_city,europe) 2
locatedInCR(vietnam,asia) 3
locatedInCR(wallis_and_futuna,oceania) -1
locatedInCR(aland_islands,europe) -1
