Rg(e1972,e3750) 1
ML(e81,e6165) -1
Iw(e837,e2840) -1
E(e1006,e3496) -1
E(e1162,e1426) -1
Rg(e2844,e470) 1
Ra(e425,e5517) 1
Rg(e786,e2477) 1
Rg(e480,e1505) 1
E(e89,e109) -1
E(e1948,e1805) -1
Rg(e6535,e6535) -1
Rg(e3114,e1499) -1
B(e1685,e427) -1
Q(e1195,e881) -1
B(e1315,e3880) 1
Rg(e3576,e91) -1
Ra(e2047,e4718) 1
Ra(e1018,e4705) 1
Ra(e782,e1147) 1
Q(e323,e1173) 1
E(e287,e757) -1
E(e2653,e1315) -1
Rg(e844,e848) 1
E(e189,e857) -1
Ra(e1797,e2987) 1
ML(e1754,e1995) -1
Ra(e1318,e175) -1
Ra(e4264,e1715) 1
Q(e4174,e2958) 1
Ra(e1530,e4772) -1
Q(e1806,e1779) 1
E(e64,e3745) -1
ML(e1359,e114) -1
Ra(e325,e2631) -1
Rg(e816,e504) 1
E(e1920,e138) -1
E(e2547,e62) -1
Rg(e2418,e6494) -1
Q(e17,e162) 1
ML(e338,e2077) -1
Rg(e298,e237) 1
Ra(e1437,e443) -1
E(e537,e3275) 1
Rg(e446,e62) -1
Q(e1228,e363) 1
Ra(e1857,e1528) -1
Ra(e4016,e427) 1
Ra(e37,e360) 1
E(e211,e2784) -1
Rg(e261,e802) 1
E(e1104,e4906) 1
Ra(e823,e0) -1
Rg(e2755,e3035) -1
ML(e143,e4079) -1
B(e2073,e2072) 1
Rg(e3460,e2734) 1
Rg(e2291,e1885) -1
Q(e443,e219) 1
Ra(e1128,e4614) 1
B(e1292,e635) 1
B(e3084,e2535) -1
Rg(e298,e1874) 1
Q(e1505,e3912) 1
ML(e1472,e262) -1
ML(e86,e779) -1
Q(e2303,e3864) 1
Rg(e5530,e5530) -1
E(e201,e4835) 1
Rg(e1579,e1773) 1
ML(e68,e3275) -1
ML(e5353,e473) -1
Rg(e2757,e2757) -1
Ra(e1295,e1475) 1
Ra(e5872,e3486) 1
Ra(e1383,e6349) 1
Rg(e1941,e2520) -1
Rg(e3319,e937) 1
E(e520,e262) -1
Q(e533,e166) 1
ML(e357,e3268) -1
Rg(e154,e495) 1
Rg(e5410,e242) 1
ML(e28,e1720) -1
Rg(e1215,e510) 1
ML(e133,e5788) -1
ML(e354,e1857) -1
ML(e81,e1393) -1
ML(e5796,e2165) -1
Iw(e1995,e945) -1
B(e907,e3156) -1
ML(e1572,e5809) -1
E(e99,e362) -1
Rg(e262,e320) 1
Rg(e1229,e1809) 1
E(e937,e2806) -1
Q(e485,e809) 1
Rg(e4760,e5147) 1
Ra(e240,e114) -1
Ra(e1111,e1044) 1
E(e3064,e142) 1
