process_of(experimental_model_of_disease,natural_phenomenon_or_process) 3
issue_in(amino_acid_peptide_or_protein,occupation_or_discipline) -1
causes(hormone,acquired_abnormality) 5
affects(mental_process,mammal) 3
disrupts(pharmacologic_substance,cell) 5
affects(mental_or_behavioral_dysfunction,human) 3
affects(carbohydrate,experimental_model_of_disease) 2
isa(anatomical_structure,physical_object) 3
measurement_of(laboratory_or_test_result,hazardous_or_poisonous_substance) -1
measures(molecular_biology_research_technique,quantitative_concept) 5
isa(embryonic_structure,entity) 5
isa(hazardous_or_poisonous_substance,chemical_viewed_functionally) 5
produces(tissue,vitamin) 10
occurs_in(pathologic_function,age_group) 4
issue_in(body_space_or_junction,occupation_or_discipline) 5
isa(social_behavior,activity) 3
assesses_effect_of(laboratory_procedure,organism_function) -1
location_of(organization,occupational_activity) -1
interacts_with(invertebrate,vertebrate) 3
isa(chemical_viewed_functionally,chemical) 3
carries_out(health_care_related_organization,research_activity) 5
affects(organ_or_tissue_function,organism) 2
affects(indicator_reagent_or_diagnostic_aid,neoplastic_process) 3
complicates(pharmacologic_substance,congenital_abnormality) 4
result_of(experimental_model_of_disease,neoplastic_process) 1
manifestation_of(anatomical_abnormality,mental_or_behavioral_dysfunction) 3
issue_in(occupational_activity,occupation_or_discipline) -1
location_of(acquired_abnormality,experimental_model_of_disease) 3
carries_out(professional_society,research_activity) -1
result_of(physiologic_function,mental_process) 1
interacts_with(enzyme,hazardous_or_poisonous_substance) 2
manifestation_of(neoplastic_process,cell_or_molecular_dysfunction) 3
interacts_with(hazardous_or_poisonous_substance,chemical) 3
process_of(natural_phenomenon_or_process,mental_or_behavioral_dysfunction) 5
result_of(anatomical_abnormality,pathologic_function) 2
isa(biomedical_occupation_or_discipline,conceptual_entity) -1
produces(patient_or_disabled_group,manufactured_object) 5
interacts_with(eicosanoid,neuroreactive_substance_or_biogenic_amine) 2
location_of(fully_formed_anatomical_structure,anatomical_abnormality) 3
process_of(cell_function,fungus) 3
affects(organ_or_tissue_function,organism_attribute) -1
occurs_in(pathologic_function,neoplastic_process) 5
affects(food,organism_function) 2
causes(enzyme,mental_or_behavioral_dysfunction) 5
result_of(human_caused_phenomenon_or_process,congenital_abnormality) 2
affects(organ_or_tissue_function,amphibian) 2
isa(bird,vertebrate) -1
manifestation_of(anatomical_abnormality,molecular_function) 2
result_of(physiologic_function,injury_or_poisoning) 1
causes(receptor,disease_or_syndrome) -1
issue_in(health_care_related_organization,biomedical_occupation_or_discipline) -1
process_of(cell_or_molecular_dysfunction,human) 2
result_of(neoplastic_process,human_caused_phenomenon_or_process) 2
result_of(molecular_function,physiologic_function) 2
disrupts(hormone,molecular_function) 5
causes(medical_device,experimental_model_of_disease) 5
result_of(acquired_abnormality,natural_phenomenon_or_process) 2
treats(drug_delivery_device,anatomical_abnormality) 5
interacts_with(element_ion_or_isotope,immunologic_factor) 2
causes(amino_acid_peptide_or_protein,cell_or_molecular_dysfunction) 5
result_of(physiologic_function,organ_or_tissue_function) 2
location_of(cell,virus) 2
conceptual_part_of(temporal_concept,cell_function) -1
result_of(laboratory_or_test_result,diagnostic_procedure) -1
disrupts(receptor,cell_function) 5
interacts_with(fungus,invertebrate) 5
occurs_in(mental_or_behavioral_dysfunction,population_group) 5
isa(family_group,entity) 2
affects(neoplastic_process,bird) 2
interacts_with(amino_acid_peptide_or_protein,biologically_active_substance) 4
indicates(immunologic_factor,mental_or_behavioral_dysfunction) -1
affects(organic_chemical,molecular_function) 2
affects(genetic_function,virus) 2
affects(carbohydrate,cell_function) 2
causes(manufactured_object,neoplastic_process) 5
diagnoses(pharmacologic_substance,disease_or_syndrome) -1
part_of(cell_component,fungus) 2
location_of(rickettsia_or_chlamydia,biologically_active_substance) 5
part_of(congenital_abnormality,organism) 5
result_of(anatomical_abnormality,genetic_function) 2
result_of(mental_process,physiologic_function) 1
degree_of(pathologic_function,cell_or_molecular_dysfunction) 3
result_of(molecular_function,experimental_model_of_disease) 3
location_of(tissue,bacterium) 5
affects(natural_phenomenon_or_process,cell_or_molecular_dysfunction) 3
affects(chemical,pathologic_function) 3
causes(hormone,neoplastic_process) 5
uses(group,manufactured_object) 5
affects(pharmacologic_substance,pathologic_function) 2
result_of(neoplastic_process,mental_process) 2
assesses_effect_of(laboratory_procedure,genetic_function) -1
produces(body_part_organ_or_organ_component,carbohydrate) 5
result_of(cell_or_molecular_dysfunction,injury_or_poisoning) 1
associated_with(governmental_or_regulatory_activity,acquired_abnormality) 5
precedes(pathologic_function,disease_or_syndrome) 3
causes(medical_device,injury_or_poisoning) 5
location_of(gene_or_genome,experimental_model_of_disease) 2
produces(gene_or_genome,organophosphorus_compound) 10
location_of(body_part_organ_or_organ_component,fungus) 2
process_of(physiologic_function,bird) 2
part_of(anatomical_structure,invertebrate) 5
causes(inorganic_chemical,experimental_model_of_disease) 5
measures(research_activity,organism_attribute) 5
isa(lipid,substance) 8
causes(biomedical_or_dental_material,anatomical_abnormality) 5
result_of(injury_or_poisoning,congenital_abnormality) 2
property_of(organism_attribute,alga) -1
affects(cell_function,experimental_model_of_disease) 1
process_of(organism_function,pathologic_function) 1
associated_with(behavior,group) -1
result_of(molecular_sequence,mental_process) -1
affects(molecular_function,fish) 4
interacts_with(enzyme,immunologic_factor) 2
location_of(cell,congenital_abnormality) 2
process_of(molecular_function,rickettsia_or_chlamydia) 4
interacts_with(nucleic_acid_nucleoside_or_nucleotide,element_ion_or_isotope) 3
carries_out(self_help_or_relief_organization,laboratory_procedure) 5
associated_with(governmental_or_regulatory_activity,cell_or_molecular_dysfunction) 2
isa(fungus,entity) -1
assesses_effect_of(diagnostic_procedure,lipid) -1
location_of(embryonic_structure,cell_function) -1
associated_with(health_care_activity,anatomical_abnormality) 5
affects(food,genetic_function) 3
disrupts(hormone,cell_component) 5
affects(pathologic_function,fungus) 5
complicates(enzyme,neoplastic_process) 2
assesses_effect_of(diagnostic_procedure,chemical_viewed_functionally) -1
process_of(mental_or_behavioral_dysfunction,pathologic_function) 2
location_of(self_help_or_relief_organization,molecular_biology_research_technique) -1
produces(age_group,classification) 5
causes(pharmacologic_substance,experimental_model_of_disease) 5
result_of(experimental_model_of_disease,mental_or_behavioral_dysfunction) 2
affects(enzyme,pathologic_function) 3
part_of(anatomical_structure,virus) 5
isa(group,entity) 3
causes(biomedical_or_dental_material,injury_or_poisoning) 5
affects(disease_or_syndrome,neoplastic_process) 1
causes(organic_chemical,injury_or_poisoning) 5
causes(biologically_active_substance,experimental_model_of_disease) 5
affects(neoplastic_process,experimental_model_of_disease) 1
affects(amino_acid_peptide_or_protein,genetic_function) 2
process_of(pathologic_function,disease_or_syndrome) 2
affects(organ_or_tissue_function,natural_phenomenon_or_process) 2
surrounds(body_substance,embryonic_structure) -1
associated_with(finding,pathologic_function) 2
measures(molecular_biology_research_technique,mental_process) 5
interacts_with(chemical_viewed_structurally,element_ion_or_isotope) 3
process_of(neoplastic_process,fungus) 2
location_of(body_space_or_junction,congenital_abnormality) 3
measures(research_activity,vitamin) 5
disrupts(antibiotic,body_part_organ_or_organ_component) 5
isa(regulation_or_law,intellectual_product) -1
result_of(cell_function,pathologic_function) 2
affects(laboratory_procedure,mental_process) 2
precedes(genetic_function,cell_function) 2
result_of(mental_process,cell_or_molecular_dysfunction) 1
result_of(clinical_attribute,biologic_function) 2
isa(professional_or_occupational_group,entity) -1
interacts_with(bacterium,organism) 5
part_of(cell,alga) 3
interacts_with(virus,archaeon) 3
performs(group,behavior) 5
result_of(mental_process,disease_or_syndrome) 2
process_of(mental_process,human) 2
causes(steroid,injury_or_poisoning) 5
isa(antibiotic,chemical) 2
manifestation_of(anatomical_abnormality,pathologic_function) 2
affects(cell_function,disease_or_syndrome) 1
produces(physiologic_function,biologically_active_substance) -1
issue_in(entity,biomedical_occupation_or_discipline) -1
interacts_with(fish,human) 3
precedes(experimental_model_of_disease,neoplastic_process) 3
manifestation_of(laboratory_or_test_result,pathologic_function) 3
consists_of(body_part_organ_or_organ_component,body_substance) -1
interacts_with(amino_acid_peptide_or_protein,enzyme) 2
location_of(cell,therapeutic_or_preventive_procedure) 4
complicates(biologically_active_substance,molecular_function) 8
precedes(cell_or_molecular_dysfunction,disease_or_syndrome) 3
measures(diagnostic_procedure,biologically_active_substance) 5
isa(invertebrate,entity) -1
location_of(body_part_organ_or_organ_component,mental_process) 5
location_of(professional_society,health_care_activity) -1
affects(cell_function,cell_or_molecular_dysfunction) 2
result_of(cell_or_molecular_dysfunction,environmental_effect_of_humans) 2
issue_in(chemical_viewed_functionally,occupation_or_discipline) -1
affects(neoplastic_process,mammal) 2
part_of(tissue,archaeon) 5
part_of(cell,tissue) 3
affects(steroid,experimental_model_of_disease) 2
measures(research_activity,mental_process) 5
affects(neuroreactive_substance_or_biogenic_amine,cell_or_molecular_dysfunction) 2
interacts_with(chemical_viewed_functionally,hazardous_or_poisonous_substance) 2
uses(professional_or_occupational_group,regulation_or_law) 5
interacts_with(carbohydrate,indicator_reagent_or_diagnostic_aid) 2
result_of(cell_or_molecular_dysfunction,diagnostic_procedure) 3
measures(laboratory_procedure,steroid) -1
isa(mental_process,biologic_function) 5
disrupts(receptor,fully_formed_anatomical_structure) 5
complicates(hazardous_or_poisonous_substance,genetic_function) 5
result_of(cell_or_molecular_dysfunction,biologic_function) 2
complicates(immunologic_factor,molecular_function) 5
location_of(bacterium,immunologic_factor) 8
occurs_in(pathologic_function,professional_or_occupational_group) 2
location_of(virus,hormone) -1
result_of(cell_or_molecular_dysfunction,natural_phenomenon_or_process) 2
affects(biologic_function,mental_or_behavioral_dysfunction) 2
measurement_of(laboratory_or_test_result,eicosanoid) -1
affects(eicosanoid,physiologic_function) 3
process_of(cell_or_molecular_dysfunction,animal) 4
affects(cell_function,amphibian) 3
interacts_with(population_group,patient_or_disabled_group) -1
affects(antibiotic,mental_process) 2
affects(cell_or_molecular_dysfunction,biologic_function) 1
performs(professional_or_occupational_group,machine_activity) 5
affects(mental_or_behavioral_dysfunction,bacterium) 3
interacts_with(pharmacologic_substance,vitamin) 2
complicates(receptor,acquired_abnormality) 2
issue_in(language,biomedical_occupation_or_discipline) -1
process_of(disease_or_syndrome,fungus) 2
manifestation_of(neoplastic_process,disease_or_syndrome) 1
assesses_effect_of(laboratory_procedure,disease_or_syndrome) -1
process_of(disease_or_syndrome,amphibian) 3
produces(cell_component,enzyme) 5
affects(food,disease_or_syndrome) 3
result_of(natural_phenomenon_or_process,injury_or_poisoning) 2
manifestation_of(disease_or_syndrome,neoplastic_process) 1
produces(mental_or_behavioral_dysfunction,neuroreactive_substance_or_biogenic_amine) 10
result_of(organ_or_tissue_function,disease_or_syndrome) 1
associated_with(research_activity,acquired_abnormality) 5
degree_of(disease_or_syndrome,mental_or_behavioral_dysfunction) 1
precedes(cell_function,physiologic_function) -1
location_of(plant,vitamin) -1
affects(mental_process,organism) 2
disrupts(biologically_active_substance,molecular_function) 5
location_of(body_space_or_junction,biologic_function) 3
co-occurs_with(mental_process,organ_or_tissue_function) -1
precedes(experimental_model_of_disease,cell_or_molecular_dysfunction) 3
affects(congenital_abnormality,archaeon) 4
produces(patient_or_disabled_group,medical_device) 5
disrupts(hormone,physiologic_function) 5
location_of(fungus,neuroreactive_substance_or_biogenic_amine) 10
interacts_with(virus,mammal) 4
result_of(anatomical_abnormality,diagnostic_procedure) 4
affects(genetic_function,bird) 2
uses(professional_or_occupational_group,drug_delivery_device) 5
diagnoses(diagnostic_procedure,mental_or_behavioral_dysfunction) 10
associated_with(individual_behavior,clinical_attribute) 2
assesses_effect_of(laboratory_procedure,antibiotic) 5
produces(fully_formed_anatomical_structure,amino_acid_peptide_or_protein) -1
manifestation_of(sign_or_symptom,molecular_function) 6
performs(population_group,occupational_activity) 5
result_of(phenomenon_or_process,anatomical_abnormality) 2
produces(molecular_function,hormone) 5
location_of(professional_society,therapeutic_or_preventive_procedure) -1
interacts_with(hormone,vitamin) 2
produces(cell_or_molecular_dysfunction,enzyme) 5
process_of(biologic_function,organism) 4
causes(nucleic_acid_nucleoside_or_nucleotide,pathologic_function) 5
isa(antibiotic,substance) 2
causes(drug_delivery_device,disease_or_syndrome) 5
affects(genetic_function,amphibian) 3
interacts_with(eicosanoid,immunologic_factor) 2
manifestation_of(laboratory_or_test_result,neoplastic_process) 4
evaluation_of(finding,genetic_function) -1
affects(regulation_or_law,professional_or_occupational_group) -1
affects(biomedical_or_dental_material,disease_or_syndrome) 3
interacts_with(alga,virus) 6
interacts_with(pharmacologic_substance,neuroreactive_substance_or_biogenic_amine) 3
isa(fish,physical_object) 5
measures(molecular_biology_research_technique,inorganic_chemical) 5
affects(neuroreactive_substance_or_biogenic_amine,genetic_function) 2
measurement_of(clinical_attribute,mental_process) -1
causes(chemical_viewed_structurally,neoplastic_process) 5
complicates(vitamin,neoplastic_process) 2
produces(age_group,manufactured_object) 5
associated_with(behavior,geographic_area) 5
process_of(organism_function,fungus) 3
result_of(cell_or_molecular_dysfunction,physiologic_function) 1
issue_in(amino_acid_sequence,occupation_or_discipline) -1
