sep=;
dataset;data_path;seed;total_timesteps;n_envs;n_steps;batch_size;n_epochs;learning_rate;gamma;gae_lambda;clip_range;clip_range_vf;ent_coef;vf_coef;max_grad_norm;target_kl;atom_embedding_size;hidden_dim;num_layers;dropout_prob;use_l2_norm;sqrt_scale;temperature;atom_embedder;state_embedder;padding_atoms;padding_states;max_steps;reward_type;negative_ratio;end_proof_action;skip_unary_actions;memory_pruning;use_exact_memory;max_total_vars;train_depth;valid_depth;test_depth;eval_freq;eval_neg_samples;n_corruptions;eval_best_metric;lr_decay;lr_init_value;lr_final_value;lr_start;lr_end;lr_transform;ent_coef_decay;ent_coef_init_value;ent_coef_final_value;ent_coef_start;ent_coef_end;ent_coef_transform;save_model;load_model;restore_best;load_best_metric;models_path;use_logger;logger_path;verbose;device;parity;profile;use_callbacks;sample_deterministic_per_env;seed_run_i;run_signature;corruption_scheme;train_file;valid_file;test_file;rules_file;facts_file;test_MRR;test_Hits@1;test_Hits@3;test_Hits@10;test_policy_loss;test_value_loss;test_entropy;test_proven_pos;test_proven_neg;test_len_pos;test_len_neg;test_reward_label_pos;test_reward_label_neg;test_len_d_1_pos;test_proven_d_1_pos;test_reward_d_1_pos;test_len_d_2_pos;test_proven_d_2_pos;test_reward_d_2_pos;test_len_d_3_pos;test_proven_d_3_pos;test_reward_d_3_pos;test_len_d_4_pos;test_proven_d_4_pos;test_reward_d_4_pos;test_len_d_6_pos;test_proven_d_6_pos;test_reward_d_6_pos
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;700000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.18, 0.0];[0.042, 0.0];[0.083, 0.0];[0.875, 0.0];[0.001, 0.0];[0.018, 0.0];[0.012, 0.0];[0.042, 0.0];[0.0, 0.0];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.0, 0.0];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;100000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.215, 0.035];[0.083, 0.042];[0.125, 0.042];[0.875, 0.0];[0.002, 0.001];[0.087, 0.069];[0.018, 0.006];[0.042, 0.0];[0.002, 0.002];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.002, 0.002];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;200000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.241, 0.046];[0.097, 0.039];[0.153, 0.052];[0.875, 0.0];[0.002, 0.001];[0.095, 0.058];[0.018, 0.005];[0.042, 0.0];[0.003, 0.002];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.003, 0.002];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;200000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;0.0003;1e-06;0.0;1.0;linear;True;0.5;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.264, 0.056];[0.125, 0.059];[0.177, 0.062];[0.896, 0.036];[0.002, 0.001];[0.094, 0.05];[0.018, 0.004];[0.042, 0.0];[0.003, 0.002];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.003, 0.002];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;200000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.277, 0.057];[0.142, 0.062];[0.192, 0.062];[0.908, 0.041];[0.001, 0.001];[0.093, 0.045];[0.018, 0.004];[0.042, 0.0];[0.003, 0.002];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.003, 0.002];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;700000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.267, 0.057];[0.125, 0.068];[0.194, 0.057];[0.917, 0.042];[0.002, 0.001];[0.085, 0.044];[0.017, 0.004];[0.042, 0.0];[0.003, 0.002];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.003, 0.002];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;100000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.266, 0.052];[0.125, 0.063];[0.19, 0.054];[0.917, 0.039];[0.002, 0.001];[0.095, 0.048];[0.018, 0.004];[0.042, 0.0];[0.004, 0.001];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.004, 0.001];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;100000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.265, 0.049];[0.125, 0.059];[0.188, 0.051];[0.917, 0.036];[0.002, 0.001];[0.103, 0.049];[0.019, 0.004];[0.042, 0.0];[0.004, 0.001];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.004, 0.001];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;700000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.258, 0.05];[0.12, 0.057];[0.181, 0.052];[0.912, 0.036];[0.004, 0.006];[0.097, 0.049];[0.019, 0.004];[0.042, 0.0];[0.004, 0.001];[0.0, 0.0];[0.1, 0.0];[0.042, 0.0];[0.004, 0.001];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
countries_s3;/home/castellanoontiv/Batched_env/kge_experiments/data;0;700000;128;128;512;5;3e-05;0.99;0.95;0.2;None;0.1;2.0;0.5;0.07;250;256;8;0.1;True;False;0.1;transe;mean;6;20;20;4;1;True;False;True;False;100;{1, 2, 3, 4, 5, 6};None;None;4;4;None;mrr;True;3e-05;1e-06;0.0;1.0;linear;True;0.01;0.01;0.0;1.0;linear;True;False;True;eval;/home/castellanoontiv/Batched_env/kge_experiments/models;True;/home/castellanoontiv/Batched_env/kge_experiments/runs;True;cuda;False;False;True;False;0;countries_s3-250-128-torchrl;['tail'];train_depths.txt;valid.txt;test.txt;rules.txt;train.txt;[0.288, 0.101];[0.158, 0.126];[0.213, 0.108];[0.917, 0.037];[0.004, 0.006];[0.092, 0.049];[0.019, 0.004];[0.088, 0.137];[0.004, 0.002];[0.0, 0.0];[0.098, 0.005];[0.092, 0.15];[0.004, 0.002];[0.0, 0.0];[1.0, 0.0];[1.0, 0.0];[0.0, 0.0];[0.056, 0.167];[0.061, 0.183];[0.0, 0.0];[0.033, 0.1];[0.033, 0.1];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0]
