locatedInCR(afghanistan,asia) 0.294884 1
locatedInCR(algeria,africa) 0.290782 1
locatedInCR(andorra,europe) 0.212161 1
locatedInCR(angola,africa) 0.277234 1
locatedInCR(argentina,americas) 0.302584 1
locatedInCR(armenia,asia) 0.233487 1
locatedInCR(austria,europe) 0.376530 1
locatedInCR(azerbaijan,asia) 0.267203 1
locatedInCR(bangladesh,europe) 0.143504 1
locatedInCR(belarus,europe) 0.312574 1
locatedInCR(belgium,europe) 0.238472 1
locatedInCR(belize,oceania) 0.186312 1
locatedInCR(benin,americas) 0.237179 1
locatedInCR(bolivia,americas) 0.331832 1
locatedInCR(bosnia_and_herzegovina,europe) 0.187652 1
locatedInCR(brazil,americas) 0.387819 1
locatedInCR(burundi,africa) 0.347797 1
locatedInCR(cambodia,asia) 0.227100 1
locatedInCR(cameroon,oceania) 0.283542 1
locatedInCR(canada,americas) 0.240693 1
locatedInCR(central_african_republic,africa) 0.301148 1
locatedInCR(chad,africa) 0.324415 1
locatedInCR(chile,americas) 0.253598 1
locatedInCR(china,asia) 0.482400 1
locatedInCR(colombia,americas) 0.268110 1
locatedInCR(costa_rica,oceania) 0.178167 1
locatedInCR(croatia,europe) 0.287708 1
locatedInCR(dr_congo,africa) 0.430236 1
locatedInCR(el_salvador,americas) 0.167855 1
locatedInCR(ethiopia,oceania) 0.317571 1
locatedInCR(finland,europe) 0.286527 1
locatedInCR(france,oceania) 0.302227 1
locatedInCR(gabon,africa) 0.208034 1
locatedInCR(georgia,asia) 0.271138 1
locatedInCR(gibraltar,oceania) 0.119988 1
locatedInCR(greece,europe) 0.238784 1
locatedInCR(guatemala,oceania) 0.199906 1
locatedInCR(guinea,africa) 0.253163 1
locatedInCR(honduras,oceania) 0.198229 1
locatedInCR(hong_kong,asia) 0.161163 1
locatedInCR(india,asia) 0.306019 1
locatedInCR(iran,asia) 0.316232 1
locatedInCR(israel,asia) 0.261239 1
locatedInCR(ivory_coast,americas) 0.301019 1
locatedInCR(kenya,africa) 0.264925 1
locatedInCR(kuwait,asia) 0.173645 1
locatedInCR(kyrgyzstan,europe) 0.207394 1
locatedInCR(laos,asia) 0.332981 1
locatedInCR(latvia,europe) 0.315238 1
locatedInCR(liberia,americas) 0.290932 1
locatedInCR(libya,africa) 0.336874 1
locatedInCR(lithuania,europe) 0.300686 1
locatedInCR(luxembourg,europe) 0.234468 1
locatedInCR(macedonia,europe) 0.239259 1
locatedInCR(malawi,africa) 0.322197 1
locatedInCR(malaysia,americas) 0.226133 1
locatedInCR(mali,africa) 0.354438 1
locatedInCR(mexico,africa) 0.161389 1
locatedInCR(montenegro,americas) 0.313508 1
locatedInCR(morocco,asia) 0.209306 1
locatedInCR(mozambique,africa) 0.251273 1
locatedInCR(netherlands,americas) 0.178154 1
locatedInCR(niger,europe) 0.289968 1
locatedInCR(north_korea,asia) 0.382319 1
locatedInCR(oman,americas) 0.172242 1
locatedInCR(pakistan,asia) 0.307046 1
locatedInCR(papua_new_guinea,oceania) 0.205124 1
locatedInCR(peru,americas) 0.329259 1
locatedInCR(poland,europe) 0.397910 1
locatedInCR(portugal,asia) 0.176115 1
locatedInCR(qatar,americas) 0.144030 1
locatedInCR(republic_of_the_congo,africa) 0.307158 1
locatedInCR(romania,europe) 0.297727 1
locatedInCR(russia,europe) 0.390629 1
locatedInCR(rwanda,africa) 0.287467 1
locatedInCR(serbia,europe) 0.293942 1
locatedInCR(sierra_leone,oceania) 0.116663 1
locatedInCR(slovakia,europe) 0.276271 1
locatedInCR(slovenia,europe) 0.371511 1
locatedInCR(somalia,africa) 0.213101 1
locatedInCR(south_africa,americas) 0.284223 1
locatedInCR(south_korea,asia) 0.133686 1
locatedInCR(south_sudan,oceania) 0.351399 1
locatedInCR(sri_lanka,asia) 0.154665 1
locatedInCR(swaziland,asia) 0.244181 1
locatedInCR(sweden,europe) 0.243251 1
locatedInCR(switzerland,europe) 0.285787 1
locatedInCR(tajikistan,asia) 0.240022 1
locatedInCR(togo,africa) 0.220027 1
locatedInCR(turkey,oceania) 0.265531 1
locatedInCR(turkmenistan,europe) 0.242930 1
locatedInCR(uganda,africa) 0.408006 1
locatedInCR(ukraine,europe) 0.369600 1
locatedInCR(united_arab_emirates,americas) 0.166941 1
locatedInCR(uzbekistan,europe) 0.248818 1
locatedInCR(western_sahara,europe) 0.163442 1
locatedInCR(yemen,europe) 0.132775 1
neighborOf(afghanistan,kazakhstan) 0.444134 8
neighborOf(afghanistan,kyrgyzstan) 0.423218 9
neighborOf(afghanistan,myanmar) 0.362043 10
neighborOf(aland_islands,russia) 0.153666 1
neighborOf(aland_islands,croatia) 0.151729 2
neighborOf(aland_islands,montenegro) 0.142949 3
neighborOf(aland_islands,turkey) 0.139356 4
neighborOf(aland_islands,serbia) 0.134060 5
neighborOf(aland_islands,ukraine) 0.117900 6
neighborOf(aland_islands,equatorial_guinea) 0.117411 7
neighborOf(aland_islands,latvia) 0.116419 8
neighborOf(aland_islands,macedonia) 0.115981 9
neighborOf(aland_islands,austria) 0.114637 10
neighborOf(albania,croatia) 0.372348 5
neighborOf(albania,serbia) 0.348514 6
neighborOf(albania,turkey) 0.332932 7
neighborOf(albania,romania) 0.323446 8
neighborOf(albania,hungary) 0.302871 9
neighborOf(albania,bulgaria) 0.301453 10
neighborOf(algeria,sudan) 0.365120 8
neighborOf(algeria,chad) 0.329696 9
neighborOf(algeria,senegal) 0.324903 10
neighborOf(american_samoa,ethiopia) 0.172291 1
neighborOf(american_samoa,south_sudan) 0.143535 2
neighborOf(american_samoa,kenya) 0.133923 3
neighborOf(american_samoa,ivory_coast) 0.132149 4
neighborOf(american_samoa,chad) 0.130828 5
neighborOf(american_samoa,afghanistan) 0.127837 6
neighborOf(american_samoa,spain) 0.127508 7
neighborOf(american_samoa,eritrea) 0.126673 8
neighborOf(american_samoa,france) 0.123753 9
neighborOf(american_samoa,dr_congo) 0.121219 10
neighborOf(andorra,china) 0.230151 3
neighborOf(andorra,luxembourg) 0.201383 4
neighborOf(andorra,switzerland) 0.201076 5
neighborOf(andorra,chad) 0.199335 6
neighborOf(andorra,italy) 0.198350 7
neighborOf(andorra,afghanistan) 0.194981 8
neighborOf(andorra,belgium) 0.186368 9
neighborOf(andorra,argentina) 0.186311 10
neighborOf(angola,central_african_republic) 0.381647 5
neighborOf(angola,kenya) 0.355590 6
neighborOf(angola,cameroon) 0.354701 7
neighborOf(angola,malawi) 0.341665 8
neighborOf(angola,uganda) 0.330069 9
neighborOf(angola,burundi) 0.315434 10
neighborOf(anguilla,kazakhstan) 0.169781 1
neighborOf(anguilla,serbia) 0.169007 2
neighborOf(anguilla,latvia) 0.166963 3
neighborOf(anguilla,mozambique) 0.164587 4
neighborOf(anguilla,brazil) 0.153475 5
neighborOf(anguilla,turkmenistan) 0.151614 6
neighborOf(anguilla,azerbaijan) 0.148706 7
neighborOf(anguilla,georgia) 0.147001 8
neighborOf(anguilla,bolivia) 0.142952 9
neighborOf(anguilla,slovenia) 0.140334 10
neighborOf(antigua_and_barbuda,sudan) 0.175621 1
neighborOf(antigua_and_barbuda,kenya) 0.170880 2
neighborOf(antigua_and_barbuda,dr_congo) 0.164696 3
neighborOf(antigua_and_barbuda,uganda) 0.164412 4
neighborOf(antigua_and_barbuda,russia) 0.156232 5
neighborOf(antigua_and_barbuda,ethiopia) 0.154282 6
neighborOf(antigua_and_barbuda,kosovo) 0.143302 7
neighborOf(antigua_and_barbuda,ivory_coast) 0.141871 8
neighborOf(antigua_and_barbuda,brazil) 0.141164 9
neighborOf(antigua_and_barbuda,china) 0.138100 10
neighborOf(argentina,peru) 0.405864 6
neighborOf(argentina,kazakhstan) 0.323758 7
neighborOf(argentina,venezuela) 0.287555 8
neighborOf(argentina,suriname) 0.277095 9
neighborOf(argentina,colombia) 0.270443 10
neighborOf(armenia,iraq) 0.382681 5
neighborOf(armenia,syria) 0.333569 6
neighborOf(armenia,china) 0.304488 7
neighborOf(armenia,saudi_arabia) 0.282711 8
neighborOf(armenia,israel) 0.234991 9
neighborOf(armenia,colombia) 0.234031 10
neighborOf(aruba,russia) 0.146845 1
neighborOf(aruba,guinea) 0.122769 2
neighborOf(aruba,uruguay) 0.115836 3
neighborOf(aruba,dominican_republic) 0.113375 4
neighborOf(aruba,algeria) 0.112368 5
neighborOf(aruba,mali) 0.108249 6
neighborOf(aruba,poland) 0.106450 7
neighborOf(aruba,slovakia) 0.105860 8
neighborOf(aruba,azerbaijan) 0.103462 9
neighborOf(aruba,belarus) 0.099295 10
neighborOf(australia,tanzania) 0.140661 1
neighborOf(australia,dr_congo) 0.140213 2
neighborOf(australia,angola) 0.126130 3
neighborOf(australia,belarus) 0.120231 4
neighborOf(australia,namibia) 0.119541 5
neighborOf(australia,iran) 0.118550 6
neighborOf(australia,ethiopia) 0.117568 7
neighborOf(australia,ukraine) 0.114696 8
neighborOf(australia,china) 0.114087 9
neighborOf(australia,chad) 0.114023 10
neighborOf(austria,ukraine) 0.380313 9
neighborOf(austria,france) 0.380120 10
neighborOf(azerbaijan,iraq) 0.359391 6
neighborOf(azerbaijan,jordan) 0.310170 7
neighborOf(azerbaijan,syria) 0.310027 8
neighborOf(azerbaijan,lebanon) 0.288272 9
neighborOf(azerbaijan,saudi_arabia) 0.273078 10
neighborOf(bahamas,south_africa) 0.139317 1
neighborOf(bahamas,azerbaijan) 0.134495 2
neighborOf(bahamas,turkey) 0.128608 3
neighborOf(bahamas,south_sudan) 0.126004 4
neighborOf(bahamas,croatia) 0.122783 5
neighborOf(bahamas,armenia) 0.116268 6
neighborOf(bahamas,kenya) 0.115402 7
neighborOf(bahamas,georgia) 0.115155 8
neighborOf(bahamas,oman) 0.113766 9
neighborOf(bahamas,sudan) 0.113112 10
neighborOf(bahrain,china) 0.225472 1
neighborOf(bahrain,russia) 0.213436 2
neighborOf(bahrain,mongolia) 0.169616 3
neighborOf(bahrain,india) 0.156817 4
neighborOf(bahrain,nepal) 0.141355 5
neighborOf(bahrain,afghanistan) 0.140634 6
neighborOf(bahrain,bhutan) 0.139488 7
neighborOf(bahrain,turkey) 0.137279 8
neighborOf(bahrain,israel) 0.135896 9
neighborOf(bahrain,laos) 0.131588 10
neighborOf(bangladesh,china) 0.198856 3
neighborOf(bangladesh,afghanistan) 0.168028 4
neighborOf(bangladesh,zambia) 0.167899 5
neighborOf(bangladesh,nepal) 0.166564 6
neighborOf(bangladesh,south_sudan) 0.162851 7
neighborOf(bangladesh,bhutan) 0.160770 8
neighborOf(bangladesh,tajikistan) 0.155476 9
neighborOf(bangladesh,macau) 0.151632 10
neighborOf(barbados,mali) 0.153206 1
neighborOf(barbados,russia) 0.153093 2
neighborOf(barbados,ireland) 0.147948 3
neighborOf(barbados,ivory_coast) 0.145708 4
neighborOf(barbados,algeria) 0.141052 5
neighborOf(barbados,chad) 0.128449 6
neighborOf(barbados,brazil) 0.126638 7
neighborOf(barbados,estonia) 0.125249 8
neighborOf(barbados,kosovo) 0.124407 9
neighborOf(barbados,turkey) 0.124329 10
neighborOf(belarus,north_korea) 0.306619 6
neighborOf(belarus,slovakia) 0.293205 7
neighborOf(belarus,kazakhstan) 0.259869 8
neighborOf(belarus,finland) 0.250495 9
neighborOf(belarus,mozambique) 0.248055 10
neighborOf(belgium,switzerland) 0.325410 5
neighborOf(belgium,austria) 0.296688 6
neighborOf(belgium,czechia) 0.294050 7
neighborOf(belgium,china) 0.267641 8
neighborOf(belgium,brazil) 0.252916 9
neighborOf(belgium,poland) 0.241659 10
neighborOf(belize,namibia) 0.220824 3
neighborOf(belize,honduras) 0.204515 4
neighborOf(belize,south_sudan) 0.181894 5
neighborOf(belize,dr_congo) 0.178837 6
neighborOf(belize,myanmar) 0.167439 7
neighborOf(belize,bulgaria) 0.166430 8
neighborOf(belize,central_african_republic) 0.163952 9
neighborOf(belize,china) 0.158963 10
neighborOf(benin,mali) 0.378102 5
neighborOf(benin,ivory_coast) 0.375395 6
neighborOf(benin,mauritania) 0.295103 7
neighborOf(benin,chad) 0.261430 8
neighborOf(benin,libya) 0.250318 9
neighborOf(benin,algeria) 0.247427 10
neighborOf(bermuda,kosovo) 0.156890 1
neighborOf(bermuda,serbia) 0.142500 2
neighborOf(bermuda,bosnia_and_herzegovina) 0.132444 3
neighborOf(bermuda,russia) 0.129884 4
neighborOf(bermuda,south_africa) 0.128475 5
