sep=;
train_neg_pos_ratio;limit_space;dynamic_neg;standard_corruptions;dataset_name;data_path;domain_file;janus_file;train_file;valid_file;test_file;dynamic_consult;learn_embeddings;kge;model_name;atom_embedding_size;constant_embedding_size;predicate_embedding_size;constant_emb_file;predicate_emb_file;rule_depend_var;variable_no;device;seed;restore_best_val_model;load_model;save_model;models_path;timesteps_train;n_epochs;n_steps;eval_freq;batch_size;lr;max_depth;run_signature;seed_run_i;train_pos_queries;train_neg_queries;train_ratio_pos_queries;train_mrr_mean;train_mrr_std;train_rewards_pos_mean;train_rewards_pos_std;train_rewards_neg_mean;train_rewards_neg_std;train_rewards_mean;train_rewards_std;train_episode_len_pos_mean;train_episode_len_pos_std;train_episode_len_neg_mean;train_episode_len_neg_std;train_episode_len_mean;train_episode_len_std;train_log_probs_pos_mean;train_log_probs_pos_std;train_log_probs_neg_mean;train_log_probs_neg_std;train_log_probs_mean;train_log_probs_std;train_auc_pr;valid_pos_queries;valid_neg_queries;valid_ratio_pos_queries;valid_mrr_mean;valid_mrr_std;valid_rewards_pos_mean;valid_rewards_pos_std;valid_rewards_neg_mean;valid_rewards_neg_std;valid_rewards_mean;valid_rewards_std;valid_episode_len_pos_mean;valid_episode_len_pos_std;valid_episode_len_neg_mean;valid_episode_len_neg_std;valid_episode_len_mean;valid_episode_len_std;valid_log_probs_pos_mean;valid_log_probs_pos_std;valid_log_probs_neg_mean;valid_log_probs_neg_std;valid_log_probs_mean;valid_log_probs_std;valid_auc_pr;test_pos_queries;test_neg_queries;test_ratio_pos_queries;test_mrr_mean;test_mrr_std;test_rewards_pos_mean;test_rewards_pos_std;test_rewards_neg_mean;test_rewards_neg_std;test_rewards_mean;test_rewards_std;test_episode_len_pos_mean;test_episode_len_pos_std;test_episode_len_neg_mean;test_episode_len_neg_std;test_episode_len_mean;test_episode_len_std;test_log_probs_pos_mean;test_log_probs_pos_std;test_log_probs_neg_mean;test_log_probs_neg_std;test_log_probs_mean;test_log_probs_std;test_auc_pr
1;False;True;False;countries_s3_old;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3_old/constant_embeddings.pkl;./data/countries_s3_old/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3_old;50000;10;2048;5000;64;0.0003;20;countries_s3_old-transe-PPO-50-20-True-50000-False-True-1-False-False-False;0;[26.0, 0.0];[72.0, 0.0];[0.27, 0.0];[1.0, 0.0];[0.0, 0.0];[0.769, 0.0];[0.421, 0.0];[0.0, 0.0];[0.0, 0.0];[0.204, 0.0];[0.403, 0.0];[5.5, 0.0];[2.24, 0.0];[8.208, 0.0];[2.723, 0.0];[7.49, 0.0];[2.865, 0.0];[-1.048, 0.0];[0.672, 0.0];[-2.655, 0.0];[0.951, 0.0];[-2.228, 0.0];[1.134, 0.0];[0.858, 0.0];[24.0, 0.0];[60.0, 0.0];[0.29, 0.0];[0.85, 0.0];[0.263, 0.0];[0.333, 0.0];[0.471, 0.0];[0.0, 0.0];[0.0, 0.0];[0.095, 0.0];[0.294, 0.0];[7.5, 0.0];[2.693, 0.0];[9.2, 0.0];[2.676, 0.0];[8.714, 0.0];[2.788, 0.0];[-2.004, 0.0];[1.357, 0.0];[-3.081, 0.0];[1.244, 0.0];[-2.773, 0.0];[1.367, 0.0];[0.662, 0.0];[25.0, 0.0];[57.0, 0.0];[0.3, 0.0];[0.781, 0.0];[0.291, 0.0];[0.4, 0.0];[0.49, 0.0];[0.0, 0.0];[0.0, 0.0];[0.122, 0.0];[0.327, 0.0];[6.16, 0.0];[2.327, 0.0];[7.737, 0.0];[2.267, 0.0];[7.256, 0.0];[2.398, 0.0];[-1.503, 0.0];[1.132, 0.0];[-2.698, 0.0];[1.23, 0.0];[-2.334, 0.0];[1.321, 0.0];[0.666, 0.0]
1;False;True;False;countries_s3_old;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3_old/constant_embeddings.pkl;./data/countries_s3_old/predicate_embeddings.pkl;False;500;cpu;[0];False;True;True;models/countries_s3_old;50000;10;2048;5000;64;0.0003;20;countries_s3_old-transe-PPO-50-20-True-50000-False-True-1-False-False-False;0;[26.0, 0.0];[72.0, 0.0];[0.27, 0.0];[1.0, 0.0];[0.0, 0.0];[0.769, 0.0];[0.421, 0.0];[0.0, 0.0];[0.0, 0.0];[0.204, 0.0];[0.403, 0.0];[5.5, 0.0];[2.24, 0.0];[8.167, 0.042];[2.647, 0.076];[7.459, 0.031];[2.805, 0.06];[-1.047, 0.001];[0.668, 0.004];[-2.644, 0.011];[0.886, 0.065];[-2.22, 0.008];[1.092, 0.042];[0.858, 0.001];[24.0, 0.0];[60.0, 0.0];[0.29, 0.0];[0.858, 0.008];[0.248, 0.015];[0.333, 0.0];[0.471, 0.0];[0.0, 0.0];[0.0, 0.0];[0.095, 0.0];[0.294, 0.0];[7.5, 0.0];[2.693, 0.0];[9.2, 0.0];[2.676, 0.0];[8.714, 0.0];[2.788, 0.0];[-2.001, 0.003];[1.329, 0.027];[-3.092, 0.011];[1.235, 0.009];[-2.78, 0.007];[1.356, 0.011];[0.665, 0.002];[25.0, 0.0];[57.0, 0.0];[0.3, 0.0];[0.781, 0.0];[0.291, 0.0];[0.4, 0.0];[0.49, 0.0];[0.0, 0.0];[0.0, 0.0];[0.122, 0.0];[0.327, 0.0];[6.16, 0.0];[2.327, 0.0];[7.737, 0.0];[2.267, 0.0];[7.256, 0.0];[2.398, 0.0];[-1.5, 0.004];[1.134, 0.002];[-2.702, 0.004];[1.209, 0.021];[-2.336, 0.002];[1.309, 0.012];[0.667, 0.001]
1;False;True;False;countries_s3;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;True;True;transe;PPO;50;50;50;./data/countries_s3/constant_embeddings.pkl;./data/countries_s3/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3;6000;10;2048;5000;64;0.0003;20;countries_s3-transe-PPO-50-20-True-6000-False-True-1-False-False-True;0;[33.0, 0.0];[48.0, 0.0];[0.41, 0.0];[0.812, 0.0];[0.294, 0.0];[0.697, 0.0];[0.46, 0.0];[0.0, 0.0];[0.0, 0.0];[0.284, 0.0];[0.451, 0.0];[5.364, 0.0];[4.044, 0.0];[8.5, 0.0];[3.014, 0.0];[7.222, 0.0];[3.797, 0.0];[-1.652, 0.0];[2.079, 0.0];[-2.648, 0.0];[1.985, 0.0];[-2.242, 0.0];[2.082, 0.0];[0.724, 0.0];[24.0, 0.0];[38.0, 0.0];[0.39, 0.0];[0.719, 0.0];[0.301, 0.0];[0.458, 0.0];[0.498, 0.0];[0.0, 0.0];[0.0, 0.0];[0.177, 0.0];[0.382, 0.0];[5.667, 0.0];[3.496, 0.0];[7.632, 0.0];[2.253, 0.0];[6.871, 0.0];[2.959, 0.0];[-2.075, 0.0];[1.9, 0.0];[-2.704, 0.0];[1.71, 0.0];[-2.461, 0.0];[1.812, 0.0];[0.637, 0.0];[24.0, 0.0];[38.0, 0.0];[0.39, 0.0];[0.632, 0.0];[0.289, 0.0];[0.167, 0.0];[0.373, 0.0];[0.0, 0.0];[0.0, 0.0];[0.065, 0.0];[0.246, 0.0];[7.417, 0.0];[2.886, 0.0];[7.737, 0.0];[3.126, 0.0];[7.613, 0.0];[3.039, 0.0];[-2.856, 0.0];[1.93, 0.0];[-3.015, 0.0];[2.123, 0.0];[-2.953, 0.0];[2.052, 0.0];[0.412, 0.0]
1;False;True;False;countries_s3;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;True;True;transe;PPO;50;50;50;./data/countries_s3/constant_embeddings.pkl;./data/countries_s3/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3;6000;10;2048;5000;64;0.0003;20;countries_s3-transe-PPO-50-20-True-6000-False-True-1-False-False-True;0;[33.0, 0.0];[48.0, 0.0];[0.41, 0.0];[0.865, 0.052];[0.257, 0.037];[0.621, 0.076];[0.479, 0.019];[0.0, 0.0];[0.0, 0.0];[0.253, 0.031];[0.433, 0.018];[5.394, 0.03];[3.86, 0.184];[8.479, 0.021];[2.693, 0.321];[7.222, 0.0];[3.562, 0.236];[-1.668, 0.016];[1.982, 0.096];[-2.814, 0.166];[1.747, 0.238];[-2.347, 0.105];[1.936, 0.146];[0.744, 0.019];[24.0, 0.0];[38.0, 0.0];[0.39, 0.0];[0.789, 0.07];[0.269, 0.032];[0.396, 0.062];[0.485, 0.013];[0.0, 0.0];[0.0, 0.0];[0.153, 0.024];[0.359, 0.023];[5.5, 0.167];[3.211, 0.286];[7.395, 0.237];[1.996, 0.256];[6.661, 0.21];[2.7, 0.259];[-2.015, 0.06];[1.747, 0.154];[-2.817, 0.113];[1.502, 0.207];[-2.507, 0.046];[1.653, 0.158];[0.649, 0.011];[24.0, 0.0];[38.0, 0.0];[0.39, 0.0];[0.737, 0.105];[0.278, 0.011];[0.146, 0.021];[0.352, 0.021];[0.0, 0.0];[0.0, 0.0];[0.056, 0.008];[0.23, 0.016];[6.958, 0.458];[2.367, 0.519];[7.447, 0.289];[2.648, 0.478];[7.258, 0.355];[2.558, 0.481];[-2.512, 0.344];[1.528, 0.402];[-2.726, 0.289];[1.658, 0.465];[-2.643, 0.31];[1.614, 0.438];[0.454, 0.042]
1;False;True;False;countries_s3;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3/constant_embeddings.pkl;./data/countries_s3/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3;6000;10;2048;5000;64;0.0003;20;countries_s3-transe-PPO-50-20-True-6000-False-True-1-False-False-False;0;[33.0, 0.0];[48.0, 0.0];[0.41, 0.0];[0.743, 0.0];[0.285, 0.0];[0.424, 0.0];[0.494, 0.0];[0.0, 0.0];[0.0, 0.0];[0.173, 0.0];[0.378, 0.0];[6.212, 0.0];[2.952, 0.0];[8.25, 0.0];[2.067, 0.0];[7.42, 0.0];[2.661, 0.0];[-1.728, 0.0];[1.467, 0.0];[-2.501, 0.0];[1.004, 0.0];[-2.186, 0.0];[1.272, 0.0];[0.686, 0.0];[24.0, 0.0];[38.0, 0.0];[0.39, 0.0];[0.553, 0.0];[0.242, 0.0];[0.125, 0.0];[0.331, 0.0];[0.0, 0.0];[0.0, 0.0];[0.048, 0.0];[0.215, 0.0];[6.417, 0.0];[1.778, 0.0];[6.684, 0.0];[1.416, 0.0];[6.581, 0.0];[1.571, 0.0];[-1.986, 0.0];[1.075, 0.0];[-2.082, 0.0];[0.925, 0.0];[-2.044, 0.0];[0.987, 0.0];[0.47, 0.0];[24.0, 0.0];[38.0, 0.0];[0.39, 0.0];[0.474, 0.0];[0.197, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[0.0, 0.0];[6.833, 0.0];[1.28, 0.0];[6.474, 0.0];[1.352, 0.0];[6.613, 0.0];[1.336, 0.0];[-2.093, 0.0];[1.087, 0.0];[-1.844, 0.0];[1.004, 0.0];[-1.94, 0.0];[1.044, 0.0];[0.369, 0.0]
1;False;True;False;countries_s3;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3/constant_embeddings.pkl;./data/countries_s3/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3;6000;10;2048;5000;64;0.0003;20;countries_s3-transe-PPO-50-20-True-6000-False-True-1-False-False-False;0;[33.0, 0.0];[48.0, 0.0];[0.41, 0.0];[0.809, 0.066];[0.266, 0.019];[0.561, 0.136];[0.477, 0.017];[0.0, 0.0];[0.0, 0.0];[0.228, 0.056];[0.415, 0.036];[5.667, 0.545];[2.655, 0.297];[7.667, 0.583];[2.151, 0.084];[6.852, 0.568];[2.571, 0.09];[-1.603, 0.125];[1.386, 0.081];[-2.311, 0.19];[1.106, 0.102];[-2.023, 0.164];[1.28, 0.008];[0.678, 0.008];[24.0, 0.0];[38.0, 0.0];[0.39, 0.0];[0.671, 0.118];[0.261, 0.019];[0.292, 0.167];[0.414, 0.084];[0.0, 0.0];[0.0, 0.0];[0.113, 0.065];[0.298, 0.084];[6.333, 0.083];[2.141, 0.363];[6.895, 0.211];[1.624, 0.208];[6.677, 0.097];[1.865, 0.293];[-2.079, 0.093];[1.107, 0.031];[-2.314, 0.233];[0.93, 0.005];[-2.223, 0.179];[1.011, 0.024];[0.504, 0.034];[24.0, 0.0];[38.0, 0.0];[0.39, 0.0];[0.561, 0.088];[0.236, 0.039];[0.083, 0.083];[0.186, 0.186];[0.0, 0.0];[0.0, 0.0];[0.032, 0.032];[0.123, 0.123];[6.792, 0.042];[1.472, 0.192];[6.632, 0.158];[1.558, 0.206];[6.694, 0.081];[1.531, 0.195];[-2.152, 0.059];[1.015, 0.072];[-2.002, 0.158];[1.005, 0.001];[-2.06, 0.12];[1.013, 0.03];[0.384, 0.015]
1;False;True;False;countries_s3_old;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3_old/constant_embeddings.pkl;./data/countries_s3_old/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3_old;6000;10;2048;5000;64;0.0003;20;countries_s3_old-transe-PPO-50-20-True-6000-False-True-1-False-False-False;0;[26.0, 0.0];[72.0, 0.0];[0.27, 0.0];[0.635, 0.0];[0.314, 0.0];[0.231, 0.0];[0.421, 0.0];[0.0, 0.0];[0.0, 0.0];[0.061, 0.0];[0.24, 0.0];[5.731, 0.0];[1.892, 0.0];[6.333, 0.0];[1.748, 0.0];[6.173, 0.0];[1.807, 0.0];[-2.282, 0.0];[1.006, 0.0];[-2.701, 0.0];[1.173, 0.0];[-2.59, 0.0];[1.146, 0.0];[0.338, 0.0];[24.0, 0.0];[60.0, 0.0];[0.29, 0.0];[0.658, 0.0];[0.346, 0.0];[0.25, 0.0];[0.433, 0.0];[0.0, 0.0];[0.0, 0.0];[0.071, 0.0];[0.258, 0.0];[5.875, 0.0];[1.691, 0.0];[7.0, 0.0];[1.643, 0.0];[6.679, 0.0];[1.733, 0.0];[-2.759, 0.0];[1.284, 0.0];[-3.371, 0.0];[1.325, 0.0];[-3.196, 0.0];[1.342, 0.0];[0.417, 0.0];[25.0, 0.0];[57.0, 0.0];[0.3, 0.0];[0.627, 0.0];[0.355, 0.0];[0.28, 0.0];[0.449, 0.0];[0.0, 0.0];[0.0, 0.0];[0.085, 0.0];[0.279, 0.0];[6.4, 0.0];[2.683, 0.0];[7.211, 0.0];[2.166, 0.0];[6.963, 0.0];[2.366, 0.0];[-3.015, 0.0];[1.73, 0.0];[-3.276, 0.0];[1.407, 0.0];[-3.197, 0.0];[1.517, 0.0];[0.371, 0.0]
1;False;True;False;countries_s3_old;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3_old/constant_embeddings.pkl;./data/countries_s3_old/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3_old;6000;10;2048;5000;64;0.0003;20;countries_s3_old-transe-PPO-50-20-True-6000-False-True-1-False-False-False;0;[26.0, 0.0];[72.0, 0.0];[0.27, 0.0];[0.635, 0.0];[0.314, 0.0];[0.231, 0.0];[0.421, 0.0];[0.0, 0.0];[0.0, 0.0];[0.061, 0.0];[0.24, 0.0];[5.731, 0.0];[1.892, 0.0];[6.333, 0.0];[1.748, 0.0];[6.173, 0.0];[1.807, 0.0];[-2.282, 0.0];[1.006, 0.0];[-2.701, 0.0];[1.173, 0.0];[-2.59, 0.0];[1.146, 0.0];[0.338, 0.0];[24.0, 0.0];[60.0, 0.0];[0.29, 0.0];[0.658, 0.0];[0.346, 0.0];[0.25, 0.0];[0.433, 0.0];[0.0, 0.0];[0.0, 0.0];[0.071, 0.0];[0.258, 0.0];[5.875, 0.0];[1.691, 0.0];[7.0, 0.0];[1.643, 0.0];[6.679, 0.0];[1.733, 0.0];[-2.759, 0.0];[1.284, 0.0];[-3.371, 0.0];[1.325, 0.0];[-3.196, 0.0];[1.342, 0.0];[0.417, 0.0];[25.0, 0.0];[57.0, 0.0];[0.3, 0.0];[0.627, 0.0];[0.355, 0.0];[0.28, 0.0];[0.449, 0.0];[0.0, 0.0];[0.0, 0.0];[0.085, 0.0];[0.279, 0.0];[6.4, 0.0];[2.683, 0.0];[7.211, 0.0];[2.166, 0.0];[6.963, 0.0];[2.366, 0.0];[-3.015, 0.0];[1.73, 0.0];[-3.276, 0.0];[1.407, 0.0];[-3.197, 0.0];[1.517, 0.0];[0.371, 0.0]
1;False;True;False;countries_s3_old;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3_old/constant_embeddings.pkl;./data/countries_s3_old/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3_old;50000;10;2048;5000;64;0.0003;20;countries_s3_old-transe-PPO-50-20-True-50000-False-True-1-False-False-False;0;[26.0, 0.0];[72.0, 0.0];[0.27, 0.0];[0.895, 0.149];[0.108, 0.153];[0.654, 0.163];[0.446, 0.034];[0.0, 0.0];[0.0, 0.0];[0.173, 0.043];[0.374, 0.041];[6.0, 0.707];[3.063, 1.163];[8.194, 0.052];[3.262, 0.872];[7.612, 0.218];[3.398, 0.84];[-0.996, 0.073];[0.863, 0.276];[-2.052, 0.838];[0.991, 0.158];[-1.771, 0.635];[1.134, 0.068];[0.715, 0.203];[24.0, 0.0];[60.0, 0.0];[0.29, 0.0];[0.757, 0.144];[0.256, 0.017];[0.292, 0.059];[0.45, 0.031];[0.0, 0.0];[0.0, 0.0];[0.083, 0.017];[0.275, 0.027];[7.292, 0.295];[2.684, 0.012];[8.717, 0.684];[2.613, 0.089];[8.31, 0.572];[2.716, 0.103];[-1.714, 0.406];[1.171, 0.225];[-2.412, 0.961];[1.087, 0.209];[-2.213, 0.803];[1.174, 0.257];[0.556, 0.153];[25.0, 0.0];[57.0, 0.0];[0.3, 0.0];[0.727, 0.076];[0.294, 0.004];[0.36, 0.057];[0.476, 0.019];[0.0, 0.0];[0.0, 0.0];[0.11, 0.017];[0.311, 0.023];[6.48, 0.453];[2.59, 0.372];[8.088, 0.496];[2.649, 0.539];[7.598, 0.483];[2.736, 0.478];[-1.434, 0.093];[1.134, 0.001];[-2.206, 0.702];[1.167, 0.061];[-1.97, 0.516];[1.24, 0.099];[0.583, 0.119]
1;False;True;False;countries_s3_old;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3_old/constant_embeddings.pkl;./data/countries_s3_old/predicate_embeddings.pkl;False;500;cpu;[0];False;False;True;models/countries_s3_old;50000;10;2048;5000;64;0.0003;20;countries_s3_old-transe-PPO-50-20-True-50000-False-True-1-False-False-False;0;[26.0, 0.0];[72.0, 0.0];[0.27, 0.0];[0.842, 0.158];[0.162, 0.162];[0.596, 0.173];[0.458, 0.036];[0.0, 0.0];[0.0, 0.0];[0.158, 0.046];[0.359, 0.044];[6.25, 0.75];[3.474, 1.233];[8.208, 0.051];[3.57, 0.925];[7.689, 0.231];[3.694, 0.891];[-0.97, 0.077];[0.961, 0.293];[-1.755, 0.889];[1.044, 0.165];[-1.547, 0.673];[1.154, 0.069];[0.643, 0.216];[24.0, 0.0];[60.0, 0.0];[0.29, 0.0];[0.706, 0.152];[0.261, 0.016];[0.271, 0.062];[0.439, 0.033];[0.0, 0.0];[0.0, 0.0];[0.077, 0.018];[0.265, 0.028];[7.188, 0.312];[2.679, 0.013];[8.475, 0.725];[2.582, 0.094];[8.107, 0.607];[2.679, 0.109];[-1.57, 0.43];[1.092, 0.238];[-2.073, 1.02];[1.014, 0.221];[-1.929, 0.851];[1.083, 0.272];[0.502, 0.162];[25.0, 0.0];[57.0, 0.0];[0.3, 0.0];[0.7, 0.081];[0.296, 0.004];[0.34, 0.06];[0.469, 0.02];[0.0, 0.0];[0.0, 0.0];[0.104, 0.018];[0.303, 0.024];[6.64, 0.48];[2.721, 0.394];[8.263, 0.526];[2.84, 0.572];[7.768, 0.512];[2.905, 0.507];[-1.401, 0.099];[1.135, 0.001];[-1.957, 0.745];[1.147, 0.064];[-1.788, 0.548];[1.205, 0.105];[0.541, 0.126]
1;False;True;False;countries_s3_old;./data/;None;train.pl;train_label_corruptions.json;valid_queries.txt;test_queries.txt;False;True;transe;PPO;50;50;50;./data/countries_s3_old/constant_embeddings.pkl;./data/countries_s3_old/predicate_embeddings.pkl;False;500;cpu;[1];False;False;True;models/countries_s3_old;50000;10;2048;5000;64;0.0003;20;countries_s3_old-transe-PPO-50-20-True-50000-False-True-1-False-False-False;1;[26.0, 0.0];[72.0, 0.0];[0.27, 0.0];[0.784, 0.183];[0.19, 0.155];[0.531, 0.203];[0.455, 0.033];[0.0, 0.0];[0.0, 0.0];[0.141, 0.054];[0.339, 0.056];[6.238, 0.671];[3.205, 1.227];[7.967, 0.485];[3.23, 1.07];[7.508, 0.416];[3.351, 1.052];[-1.118, 0.304];[1.032, 0.298];[-1.744, 0.795];[1.073, 0.159];[-1.578, 0.605];[1.168, 0.068];[0.6, 0.211];[24.0, 0.0];[60.0, 0.0];[0.29, 0.0];[0.694, 0.138];[0.275, 0.032];[0.242, 0.081];[0.417, 0.052];[0.0, 0.0];[0.0, 0.0];[0.069, 0.023];[0.249, 0.041];[7.125, 0.306];[2.584, 0.19];[8.32, 0.719];[2.535, 0.126];[7.979, 0.601];[2.611, 0.168];[-1.67, 0.433];[1.15, 0.243];[-2.084, 0.912];[1.138, 0.318];[-1.966, 0.765];[1.18, 0.311];[0.472, 0.157];[25.0, 0.0];[57.0, 0.0];[0.3, 0.0];[0.672, 0.091];[0.299, 0.008];[0.304, 0.09];[0.449, 0.045];[0.0, 0.0];[0.0, 0.0];[0.093, 0.027];[0.286, 0.041];[6.616, 0.432];[2.581, 0.45];[8.063, 0.618];[2.595, 0.708];[7.622, 0.544];[2.681, 0.638];[-1.528, 0.269];[1.171, 0.073];[-1.994, 0.67];[1.173, 0.078];[-1.852, 0.506];[1.222, 0.1];[0.504, 0.135]
